objid,ra,dec,ug,gr,ri,iz,dered_g,specobjid,specClass,z
587727178987339895,2.3664193,-10.21255211,2.089626,1.389759,0.521778,0.31778,18.317858,183464154445643776,2,0.21715
587727178987339911,2.24804457,-10.29834621,1.357105,0.669928,0.404385,0.296959,17.098953,183464154407895040,2,0.076498
587727178987339940,2.30746702,-10.21298599,0.386183,-0.033848,0.266665,-0.036537,19.098141,183464154454032384,3,0.614237
587727178987208855,1.98056128,-10.37490168,1.701239,0.963203,0.350552,0.21701,18.620564,183464154500169728,2,0.188826
587727178987208945,2.06887951,-10.35096372,1.392117,1.372644,0.486744,0.334705,18.786243,183464154567278592,2,0.219074
587727178987274353,2.13546185,-10.28244917,1.684267,0.802977,0.40875,0.307987,17.177685,183464154491781120,2,0.076829
587727178987012317,1.58843957,-10.33711812,1.03863,0.376932,0.22398,0.202154,18.071087,183464154663747584,2,0.050569
587727178987470938,2.57428107,-10.3104342,1.864836,1.010958,0.434772,0.344519,18.302023,183745617112072192,2,0.105951
587727178987470966,2.62340229,-10.27176262,0.865799,0.418732,0.328125,0.052505,19.166248,183464154206568448,2,0.107752
587727178987405459,2.54642105,-10.2279306,0.948421,0.490147,0.3092,0.228813,17.287148,183745617082712064,2,0.083526
587727179523686535,1.10256108,-9.84748807,1.092339,0.356722,0.425697,0.161264,18.065943,183464155380973568,2,0.063544
587727179523489881,0.61317732,-9.88368959,1.290203,0.768942,0.416103,0.253368,18.537298,183182689677869056,2,0.133583
587727179523686539,1.1111191,-9.97625716,1.574991,0.852898,0.403481,0.301699,17.308018,183464155372584960,2,0.112032
587727179523620969,0.98856212,-9.78227891,1.07712,0.263935,0.120708,-0.056053,19.57053,183464155162869760,1,4.44061E-4
587727179523686529,1.06425453,-9.85733357,1.265131,0.28537,0.081514,0.021042,19.422705,183464155229978624,1,-7.61583E-4
587727179523686530,1.06675147,-9.95775264,1.099176,0.368944,0.282301,0.141573,17.160515,183182689833058304,2,0.063641
587727179523489891,0.61957018,-9.78381341,1.906187,0.908926,0.381927,0.334105,18.004265,183182689631731712,2,0.103234
587727179523489920,0.69782809,-9.81610396,1.892782,0.88464,0.430678,0.310451,16.431263,183464155183841280,2,0.076796
587727179523555414,0.74117732,-9.9548069,1.693005,0.836302,0.38438,0.284704,17.88316,183182689690451968,2,0.074691
587727179523358895,0.28263193,-9.81004146,1.210381,0.795542,0.41667,0.255871,18.478226,183182689489125376,2,0.173405
587727179523620960,0.96823411,-9.94359271,1.904242,0.914133,0.478109,0.355528,18.245224,183464155192229888,2,0.076819
587727179523358823,0.29946652,-9.76543006,1.917799,1.161695,0.487726,0.329139,17.839054,183182689497513984,2,0.174414
587727179523424348,0.49634677,-9.78682941,0.492546,2.861023E-3,0.097149,0.238958,19.149078,183182689518485504,4,2.3077
587727179523424358,0.50374176,-9.76335498,0.944626,0.350006,0.322081,0.098816,17.200634,183182689665286144,2,0.075235
587727179523424363,0.51231777,-9.80395452,1.603535,1.306664,0.53302,0.358246,18.657272,183182689652703232,2,0.214041
587727179523686573,1.15204507,-9.95540974,0.941763,-0.156075,-0.384398,0.252796,19.807142,183464155401945088,1,-6.28378E-4
587727179523227783,0.06476514,-9.79875325,0.584417,0.421638,0.317226,0.099165,18.787203,183182689401044992,2,0.208552
587727179523227787,0.06434854,-9.88791091,1.737457,0.999992,0.465881,0.172871,18.436178,183182689430405120,2,0.199284
587727179523293222,0.26735221,-9.76835547,1.254892,0.434183,-4.289627E-3,0.205978,17.117546,183182689522679808,1,-6.52355E-5
587727179523293260,0.20066229,-9.90115606,0.538467,0.645281,0.420679,0.136238,18.915131,183182689413627904,3,0.205448
587727179523751963,1.23057175,-9.86412586,1.236422,0.360296,0.17716,-0.436089,18.157818,183182689786920960,2,0.088402
587727179523883195,1.6375175,-9.89239308,1.570799,0.979677,0.412096,0.325567,18.526781,183464155552940032,2,0.112824
587727179523948635,1.64547027,-9.96469937,1.762503,0.866291,0.449156,0.324374,17.451406,183464155569717248,2,0.08386
587727179523948643,1.65374026,-9.87273945,1.896202,0.896194,0.402592,0.313253,18.26454,183182689988247552,2,0.084104
587727179523948655,1.68634552,-9.86494051,1.201294,0.487797,0.301927,0.13835,16.749777,183182690009219072,2,0.057391
587727179523817590,1.37679915,-9.95033318,1.344084,0.615286,0.389612,0.215958,17.714832,183182690013413376,2,0.054964
587727179523883165,1.60116293,-9.89302691,1.800371,0.942389,0.406281,0.325961,17.570423,183182690017607680,2,0.111455
587727179523883169,1.61178623,-9.8371098,1.453588,0.770821,0.411612,0.313276,18.086439,183182690021801984,2,0.083449
587727179523883176,1.61884118,-9.7973178,1.85955,0.954197,0.401915,0.323181,17.731579,183182690000830464,2,0.083562
587727179523883186,1.62946186,-9.81766478,1.784277,1.022242,0.485802,0.410603,18.527115,183464155506802688,2,0.111768
587727179523620954,0.95724668,-9.78694621,1.862984,1.187008,0.378584,0.212812,18.497395,183464155234172928,2,0.263346
